rx_time_ms,sequence_number,tx_timestamp_ms,rssi,payload_size,scenario_id,packet_rate
46048,19829,992166,-91,100,run03,20
46097,19830,992216,-89,100,run03,20
46151,19831,992266,-86,100,run03,20
46197,19832,992316,-90,100,run03,20
46247,19833,992366,-89,100,run03,20
46297,19834,992416,-90,100,run03,20
46349,19835,992466,-90,100,run03,20
46401,19836,992516,-90,100,run03,20
46447,19837,992566,-90,100,run03,20
46498,19838,992616,-92,100,run03,20
46547,19839,992666,-88,100,run03,20
46600,19840,992716,-86,100,run03,20
46647,19841,992766,-89,100,run03,20
46709,19842,992816,-88,100,run03,20
46747,19843,992866,-89,100,run03,20
46808,19844,992916,-90,100,run03,20
46847,19845,992966,-90,100,run03,20
46898,19846,993016,-90,100,run03,20
46947,19847,993066,-90,100,run03,20
47016,19848,993116,-91,100,run03,20
47047,19849,993166,-90,100,run03,20
47098,19850,993216,-90,100,run03,20
47147,19851,993266,-90,100,run03,20
47198,19852,993316,-91,100,run03,20
47247,19853,993366,-89,100,run03,20
47300,19854,993416,-90,100,run03,20
47347,19855,993466,-91,100,run03,20
47405,19856,993516,-92,100,run03,20
47447,19857,993566,-91,100,run03,20
47498,19858,993616,-91,100,run03,20
47557,19859,993666,-91,100,run03,20
47601,19860,993716,-92,100,run03,20
47647,19861,993766,-90,100,run03,20
47742,19862,993816,-90,100,run03,20
47756,19863,993866,-90,100,run03,20
47797,19864,993916,-91,100,run03,20
47853,19865,993966,-89,100,run03,20
47898,19866,994016,-90,100,run03,20
47949,19867,994066,-90,100,run03,20
48000,19868,994116,-89,100,run03,20
48048,19869,994166,-89,100,run03,20
48097,19870,994216,-89,100,run03,20
48150,19871,994266,-90,100,run03,20
48198,19872,994316,-90,100,run03,20
48247,19873,994366,-91,100,run03,20
48300,19874,994416,-90,100,run03,20
48349,19875,994466,-90,100,run03,20
48397,19876,994516,-89,100,run03,20
48447,19877,994566,-89,100,run03,20
48514,19878,994616,-84,100,run03,20
48557,19879,994666,-88,100,run03,20
48609,19880,994716,-89,100,run03,20
48647,19881,994766,-88,100,run03,20
48697,19882,994816,-90,100,run03,20
48751,19883,994866,-92,100,run03,20
48798,19884,994916,-90,100,run03,20
48849,19885,994966,-89,100,run03,20
48897,19886,995016,-90,100,run03,20
48956,19887,995066,-89,100,run03,20
48999,19888,995116,-89,100,run03,20
49047,19889,995166,-90,100,run03,20
49097,19890,995216,-90,100,run03,20
49148,19891,995266,-91,100,run03,20
49201,19892,995316,-88,100,run03,20
49249,19893,995366,-90,100,run03,20
49297,19894,995416,-89,100,run03,20
49347,19895,995466,-89,100,run03,20
49397,19896,995516,-90,100,run03,20
49452,19897,995566,-89,100,run03,20
49497,19898,995616,-90,100,run03,20
49548,19899,995666,-89,100,run03,20
49597,19900,995716,-89,100,run03,20
49669,19901,995766,-90,100,run03,20
49704,19902,995816,-90,100,run03,20
49748,19903,995866,-89,100,run03,20
49797,19904,995916,-89,100,run03,20
49849,19905,995966,-89,100,run03,20
49897,19906,996016,-89,100,run03,20
49947,19907,996066,-89,100,run03,20
49998,19908,996116,-90,100,run03,20
50047,19909,996166,-91,100,run03,20
50101,19910,996216,-90,100,run03,20
50148,19911,996266,-90,100,run03,20
50197,19912,996316,-88,100,run03,20
50247,19913,996366,-89,100,run03,20
50297,19914,996416,-89,100,run03,20
50350,19915,996466,-89,100,run03,20
50397,19916,996516,-90,100,run03,20
50447,19917,996566,-89,100,run03,20
50497,19918,996616,-90,100,run03,20
50547,19919,996666,-89,100,run03,20
50603,19920,996716,-90,100,run03,20
50647,19921,996766,-91,100,run03,20
50697,19922,996816,-89,100,run03,20
50747,19923,996866,-90,100,run03,20
50797,19924,996916,-90,100,run03,20
50847,19925,996966,-89,100,run03,20
50902,19926,997016,-89,100,run03,20
50948,19927,997066,-90,100,run03,20
50999,19928,997116,-90,100,run03,20
51047,19929,997166,-95,100,run03,20
51101,19930,997216,-90,100,run03,20
51147,19931,997266,-90,100,run03,20
51206,19932,997316,-91,100,run03,20
51247,19933,997366,-90,100,run03,20
51297,19934,997416,-90,100,run03,20
51347,19935,997466,-91,100,run03,20
51398,19936,997516,-92,100,run03,20
51447,19937,997566,-90,100,run03,20
51497,19938,997616,-91,100,run03,20
51561,19939,997666,-91,100,run03,20
51597,19940,997716,-90,100,run03,20
51650,19941,997766,-90,100,run03,20
51697,19942,997816,-90,100,run03,20
51747,19943,997866,-90,100,run03,20
51804,19944,997916,-89,100,run03,20
51855,19945,997966,-91,100,run03,20
